latitude,longitude,distances,ind,fotograma,section,classes,ind2,scores,boxes,class_id,area,center,height,width,total_area,fail_id_section,class_id_readable
,,,168,290,,Desenfoque de linea blanca,209,0.4356430172920227,"[0.2147311419248581, 0.5815748572349548, 0.3251282870769501, 0.9452338218688965]",D44,9249.848410648952,"(488.5787773132324, 97.17469722032547)",130.917227268219,70.65417289733887,230400,74,Desenfoque de linea blanca
,,,168,290,,Desenfoque de linea blanca,210,0.262167751789093,"[8.759498450672254e-05, 0.6017301678657532, 0.20011743903160095, 0.9352071285247803]",D44,15368.911357576128,"(491.8199348449707, 36.03690612289938)",120.05170583724976,128.0191001901403,230400,74,Desenfoque de linea blanca
,,,169,291,,Desenfoque de linea blanca,211,0.3847467005252838,"[0.2209947109222412, 0.5831007361412048, 0.32249847054481506, 0.9508737921714783]",D44,8600.912150389922,"(490.8718490600586, 97.82877266407013)",132.39830017089844,64.96240615844727,230400,74,Desenfoque de linea blanca
,,,170,292,,Desenfoque de linea blanca,212,0.5124669671058655,"[0.21897654235363007, 0.5938791632652283, 0.3185749053955078, 0.9471048712730408]",D44,8105.6338103546295,"(493.1148910522461, 96.75926059484482)",127.1612548828125,63.74295234680176,230400,74,Desenfoque de linea blanca
,,,171,294,,Desenfoque de linea blanca,213,0.20754696428775787,"[0.20957601070404053, 0.6098947525024414, 0.3067569136619568, 0.941302478313446]",D44,7420.378070371498,"(496.383113861084, 92.93992638587952)",119.30678129196167,62.195777893066406,230400,75,Desenfoque de linea blanca
,,,172,295,,Desenfoque de linea blanca,214,0.3408268988132477,"[0.2000112533569336, 0.5967531800270081, 0.29637354612350464, 0.942097544670105]",D44,7667.291467243831,"(492.4322319030762, 89.34926390647888)",124.32397127151489,61.67186737060547,230400,75,Desenfoque de linea blanca
,,,173,296,,Desenfoque de linea blanca,215,0.3358706831932068,"[0.1772308200597763, 0.5618816614151001, 0.28822222352027893, 0.9447901248931885]",D44,9791.895803520993,"(482.13497161865234, 83.78154784440994)",137.84704685211182,71.03449821472168,230400,75,Desenfoque de linea blanca
,,,174,297,,Desenfoque de linea blanca,216,0.4358234703540802,"[0.1627998799085617, 0.5509105920791626, 0.2779519557952881, 0.9402152299880981]",D44,10328.656252618202,"(477.16026306152344, 79.33533042669296)",140.1496696472168,73.69732856750488,230400,75,Desenfoque de linea blanca
,,,174,297,,Desenfoque de linea blanca,217,0.38623905181884766,"[0.0001831650733947754, 0.5432484745979309, 0.178318589925766, 0.9379135370254517]",D44,16198.00210250819,"(473.9718437194824, 32.13031589984894)",142.07942247390747,114.00667190551758,230400,75,Desenfoque de linea blanca
,,,175,298,,Desenfoque de linea blanca,218,0.2661283016204834,"[0.16061779856681824, 0.5409881472587585, 0.2818504869937897, 0.941974401473999]",D44,11200.35262942647,"(474.5480155944824, 79.64429140090942)",144.35505151748657,77.58892059326172,230400,75,Desenfoque de linea blanca
,,,176,299,,Desenfoque de linea blanca,219,0.2165604531764984,"[0.16685807704925537, 0.5423501133918762, 0.29700085520744324, 0.9430713057518005]",D44,12015.583313030129,"(475.33485412597656, 83.49460780620575)",144.25962924957275,83.29137802124023,230400,75,Desenfoque de linea blanca
,,,177,300,,Desenfoque de linea blanca,220,0.47550565004348755,"[0.18199531733989716, 0.5337425470352173, 0.3155757188796997, 0.9390315413475037]",D44,12473.54878461649,"(471.2877082824707, 89.56278651952744)",145.9040379524231,85.49145698547363,230400,75,Desenfoque de linea blanca
,,,178,301,,Desenfoque de linea blanca,221,0.39579787850379944,"[0.19138672947883606, 0.5485992431640625, 0.3357216715812683, 0.9415318965911865]",D44,13066.885274701599,"(476.8419647216797, 94.87951219081879)",141.45575523376465,92.37436294555664,230400,75,Desenfoque de linea blanca
,,,179,302,,Desenfoque de linea blanca,222,0.3746376633644104,"[0.19464343786239624, 0.5594672560691833, 0.34891313314437866, 0.9397081136703491]",D44,13515.181340749405,"(479.7361183166504, 97.84018278121948)",136.88670873641968,98.73260498046875,230400,75,Desenfoque de linea blanca
,,,180,303,,Desenfoque de linea blanca,223,0.2992924749851227,"[0.19336968660354614, 0.5787614583969116, 0.35662612318992615, 0.940899133682251]",D44,13621.548999343122,"(486.29138946533203, 98.99924576282501)",130.36956310272217,104.4841194152832,230400,75,Desenfoque de linea blanca
,,,181,304,,Desenfoque de linea blanca,224,0.542353630065918,"[0.17997176945209503, 0.6011857390403748, 0.35004255175590515, 0.9409759640693665]",D44,13314.444915425656,"(493.4917449951172, 95.40257781744003)",122.32448101043701,108.84530067443848,230400,75,Desenfoque de linea blanca
,,,182,305,,Desenfoque de linea blanca,225,0.4889981746673584,"[0.165626659989357, 0.6686474084854126, 0.32468438148498535, 0.9415861368179321]",D44,10002.358019286112,"(515.2747344970703, 88.25598746538162)",98.25794219970703,101.79694175720215,230400,75,Desenfoque de linea blanca
,,,183,308,,Desenfoque de linea blanca,226,0.3669847548007965,"[0.1401386559009552, 0.5895355343818665, 0.3969272971153259, 0.8926423788070679]",D44,17933.044544115408,"(474.296932220459, 96.6718715429306)",109.11846399307251,164.34473037719727,230400,76,Desenfoque de linea blanca
,,,184,309,,Desenfoque de linea blanca,227,0.2982698380947113,"[0.10549919307231903, 0.711057722568512, 0.2823217809200287, 0.9259189367294312]",D44,8753.429587054394,"(523.8325309753418, 69.80777531862259)",77.35003709793091,113.16645622253418,230400,76,Desenfoque de linea blanca
,,,185,315,,Desenfoque de linea blanca,228,0.3824041783809662,"[0.2213115692138672, 0.5752111673355103, 0.4676864743232727, 0.9344298243522644]",D44,20390.967368301517,"(483.0851173400879, 124.01964783668518)",129.3187165260315,157.67993927001953,230400,77,Desenfoque de linea blanca
,,,186,316,,Desenfoque de linea blanca,229,0.5475338697433472,"[0.21145805716514587, 0.5732999444007874, 0.45305967330932617, 0.9391122460365295]",D44,20362.946291854314,"(483.9719009399414, 119.61319148540497)",131.6924285888672,154.6250343322754,230400,77,Desenfoque de linea blanca
,,,187,317,,Desenfoque de linea blanca,230,0.5492508411407471,"[0.18230658769607544, 0.5928015112876892, 0.4238235354423523, 0.9440781474113464]",D44,19546.96572775647,"(491.8014907836914, 109.10342216491699)",126.4595890045166,154.5708465576172,230400,77,Desenfoque de linea blanca
,,,188,318,,Desenfoque de linea blanca,231,0.3180168569087982,"[0.15868310630321503, 0.5873151421546936, 0.44083166122436523, 0.9392455816268921]",D44,22877.951599836546,"(488.4994316101074, 107.91265815496445)",126.69495820999146,180.57507514953613,230400,77,Desenfoque de linea blanca
,,,189,319,,Desenfoque de linea blanca,232,0.48803412914276123,"[0.13339614868164062, 0.5597790479660034, 0.46754398941993713, 0.9431166052818298]",D44,29512.262488544955,"(480.92660903930664, 108.169224858284)",138.0015206336975,213.85461807250977,230400,77,Desenfoque de linea blanca
,,,190,320,,Desenfoque de linea blanca,233,0.2756894826889038,"[0.1253231018781662, 0.554241418838501, 0.4457046091556549, 0.9444188475608826]",D44,28801.297778626144,"(479.57128524780273, 102.7849879860878)",140.46387434005737,205.04416465759277,230400,77,Desenfoque de linea blanca
,,,191,321,,Desenfoque de linea blanca,234,0.2841643691062927,"[0.09891720116138458, 0.5418584942817688, 0.4493897557258606, 0.9422048926353455]",D44,32327.521906559698,"(474.90028381347656, 98.69525223970413)",144.1247034072876,224.30243492126465,230400,77,Desenfoque de linea blanca
,,,192,340,,Piel de cocodrilo,235,0.20634809136390686,"[0.2777230143547058, 0.7018553018569946, 0.325836181640625, 0.7502027750015259]",D20,535.9449745737948,"(464.65858459472656, 108.64065527915955)",17.40509033203125,30.79242706298828,230400,9,Piel de cocodrilo
,,,193,353,,Piel de cocodrilo,236,0.3661358058452606,"[0.3974442481994629, 0.6591901779174805, 0.566042423248291, 0.9361863732337952]",D20,10759.922617144184,"(510.5204963684082, 173.4276008605957)",99.71863031387329,107.90283203125,230400,10,Piel de cocodrilo
,,,194,355,,Piel de cocodrilo,237,0.22790934145450592,"[0.31742602586746216, 0.718418538570404, 0.5900226831436157, 0.935488224029541]",D20,13633.337238254626,"(529.2501640319824, 163.34076762199402)",78.1450867652893,174.46186065673828,230400,11,Piel de cocodrilo
,,,195,390,,Grieta Vertical,238,0.23296166956424713,"[0.1471535712480545, 0.6306514143943787, 0.2774752080440521, 0.776724100112915]",D00,4385.993816223822,"(450.360164642334, 76.4331802725792)",52.586166858673096,83.40584754943848,230400,209,Grieta Vertical
,,,196,391,,Grieta Vertical,239,0.29196277260780334,"[0.08993402123451233, 0.7170942425727844, 0.21052274107933044, 0.8519836664199829]",D00,3747.719333914847,"(502.10493087768555, 54.0822172164917)",48.560192584991455,77.1767807006836,230400,209,Grieta Vertical
,,,197,400,,Grieta Vertical,240,0.5523888468742371,"[0.4084587097167969, 0.6875449419021606, 0.5436303019523621, 0.9353430867195129]",D00,7717.3101591507475,"(519.3241691589355, 171.3760221004486)",89.20733213424683,86.50981903076172,230400,210,Grieta Vertical
,,,198,416,,Piel de cocodrilo,241,0.2740495204925537,"[0.2714213728904724, 0.6920381188392639, 0.6236662864685059, 0.9475114345550537]",D20,20733.506154040788,"(524.6558570861816, 161.1157786846161)",91.97039365768433,225.4367446899414,230400,12,Piel de cocodrilo
,,,199,470,,Desenfoque de linea blanca,242,0.27411991357803345,"[4.9591064453125e-05, 0.5577990412712097, 0.21239504218101501, 0.9336482286453247]",D44,18388.192952390316,"(477.263126373291, 38.240033984184265)",135.3057074546814,135.9010887145996,230400,78,Desenfoque de linea blanca
,,,200,471,,Desenfoque de linea blanca,243,0.2008291780948639,"[0.0, 0.5856475830078125, 0.18680761754512787, 0.9353598952293396]",D44,15051.784060178237,"(486.7223930358887, 33.625371158123016)",125.89643239974976,119.55687522888184,230400,78,Desenfoque de linea blanca
,,,201,472,,Desenfoque de linea blanca,244,0.3325623869895935,"[0.0, 0.5719937086105347, 0.1764390468597412, 0.9404052495956421]",D44,14976.50253547181,"(483.96766662597656, 31.759028434753418)",132.62815475463867,112.92098999023438,230400,78,Desenfoque de linea blanca
,,,202,481,,Desenfoque de linea blanca,245,0.2560679018497467,"[6.558895256603137e-05, 0.5291778445243835, 0.24454116821289062, 0.940581738948822]",D44,23173.21852401439,"(470.3230667114258, 44.0292162897822)",148.10540199279785,156.46437072660774,230400,79,Desenfoque de linea blanca
,,,203,540,,Piel de cocodrilo,246,0.2356126606464386,"[0.35323992371559143, 0.787907600402832, 0.5685261487960815, 0.9341603517532349]",D20,7254.4211126470145,"(551.0617446899414, 165.91789305210114)",52.65099048614502,137.78318405151367,230400,13,Piel de cocodrilo
,,,204,541,,Piel de cocodrilo,247,0.22230683267116547,"[0.36033812165260315, 0.7928469181060791, 0.5779082179069519, 0.9340953230857849]",D20,7080.521257084683,"(552.6215171813965, 168.8843411207199)",50.84942579269409,139.2448616027832,230400,13,Piel de cocodrilo
,,,205,548,,Desenfoque de linea blanca,248,0.21507565677165985,"[0.09795813262462616, 0.6222684979438782, 0.3437266945838928, 0.943697452545166]",D44,18200.939199996425,"(501.10910415649414, 79.50326889753342)",115.71442365646362,157.29187965393066,230400,80,Desenfoque de linea blanca
,,,206,550,,Desenfoque de linea blanca,249,0.2556903660297394,"[0.1049971804022789, 0.6186407208442688, 0.3441113233566284, 0.9416881203651428]",D44,17797.29455694301,"(499.3052291870117, 80.83953067660332)",116.29706382751465,153.0330514907837,230400,81,Desenfoque de linea blanca
,,,207,551,,Desenfoque de linea blanca,250,0.24138839542865753,"[0.10241850465536118, 0.6183123588562012, 0.3443000912666321, 0.942918062210083]",D44,18090.119243590154,"(499.59373474121094, 80.40934726595879)",116.85805320739746,154.80421543121338,230400,81,Desenfoque de linea blanca
,,,208,552,,Desenfoque de linea blanca,251,0.2547941505908966,"[0.10285277664661407, 0.6186460852622986, 0.3439382016658783, 0.9423022866249084]",D44,17977.83387624008,"(499.50347900390625, 80.42237609624863)",116.51623249053955,154.2946720123291,230400,81,Desenfoque de linea blanca
,,,209,553,,Desenfoque de linea blanca,252,0.215400829911232,"[0.10243086516857147, 0.6153547763824463, 0.34543585777282715, 0.9429246783256531]",D44,18340.09841642935,"(498.6494255065918, 80.61601012945175)",117.92516469955444,155.52319526672363,230400,81,Desenfoque de linea blanca
,,,210,554,,Desenfoque de linea blanca,253,0.23122020065784454,"[0.10096551477909088, 0.6190044283866882, 0.34378185868263245, 0.9431710243225098]",D44,18135.46313643867,"(499.89614486694336, 80.0545272231102)",116.69997453689575,155.4024600982666,230400,81,Desenfoque de linea blanca
,,,211,556,,Desenfoque de linea blanca,254,0.21559375524520874,"[0.0976925864815712, 0.6067950129508972, 0.3524545729160309, 0.9448888301849365]",D44,19845.147451335095,"(496.5388298034668, 81.02648869156837)",121.71377420425415,163.0476713180542,230400,82,Desenfoque de linea blanca
,,,212,557,,Desenfoque de linea blanca,255,0.24286247789859772,"[0.10002294927835464, 0.6080095767974854, 0.3505092263221741, 0.9455574154853821]",D44,19480.57377111221,"(497.1414375305176, 81.09579160809517)",121.51722192764282,160.31121730804443,230400,82,Desenfoque de linea blanca
,,,213,559,,Desenfoque de linea blanca,256,0.21336595714092255,"[0.100690558552742, 0.6128123998641968, 0.34705081582069397, 0.9447314739227295]",D44,18840.192417147002,"(498.4140396118164, 80.59344738721848)",119.49086666107178,157.67056465148926,230400,83,Desenfoque de linea blanca
,,,214,560,,Desenfoque de linea blanca,257,0.25596505403518677,"[0.10105741024017334, 0.6152518391609192, 0.34583643078804016, 0.9443045854568481]",D44,18557.616141366496,"(499.05805587768555, 80.44089138507843)",118.45898866653442,156.65857315063477,230400,83,Desenfoque de linea blanca
,,,215,561,,Desenfoque de linea blanca,258,0.28357577323913574,"[0.10128124058246613, 0.6172563433647156, 0.3445594608783722, 0.9440518021583557]",D44,18317.310938749644,"(499.6186065673828, 80.2513262629509)",117.64636516571045,155.69806098937988,230400,83,Desenfoque de linea blanca
,,,216,562,,Desenfoque de linea blanca,259,0.35508978366851807,"[0.1015278697013855, 0.6200791001319885, 0.34223517775535583, 0.9442252516746521]",D44,17976.809676415996,"(500.577392578125, 79.87734854221344)",116.69261455535889,154.05267715454102,230400,83,Desenfoque de linea blanca
,,,217,563,,Desenfoque de linea blanca,260,0.3612375557422638,"[0.10087355226278305, 0.6185801029205322, 0.34344911575317383, 0.9438707232475281]",D44,18180.300792720333,"(499.9842643737793, 79.97808024287224)",117.1046233177185,155.2483606338501,230400,83,Desenfoque de linea blanca
,,,218,564,,Desenfoque de linea blanca,261,0.39188164472579956,"[0.10094819962978363, 0.6203738451004028, 0.342404305934906, 0.9435051679611206]",D44,17976.275952346896,"(500.4412841796875, 79.80345100164413)",116.3272762298584,154.53190803527832,230400,83,Desenfoque de linea blanca
,,,219,565,,Desenfoque de linea blanca,262,0.349491149187088,"[0.10050127655267715, 0.6206892132759094, 0.34270671010017395, 0.9434290528297424]",D44,18010.216572407582,"(500.5178451538086, 79.7774375975132)",116.18634223937988,155.01147747039795,230400,83,Desenfoque de linea blanca
,,,220,568,,Desenfoque de linea blanca,263,0.21609072387218475,"[0.10346150398254395, 0.6152875423431396, 0.34549039602279663, 0.9425371885299683]",D44,18248.571483762316,"(498.50391387939453, 80.8113420009613)",117.8098726272583,154.89849090576172,230400,84,Desenfoque de linea blanca
,,,221,569,,Desenfoque de linea blanca,264,0.2585045099258423,"[0.09974007308483124, 0.6262193918228149, 0.34010234475135803, 0.9431725144386292]",D44,17552.695118684846,"(502.2054100036621, 79.17163521051407)",114.10312414169312,153.83185386657715,230400,84,Desenfoque de linea blanca
,,,222,570,,Desenfoque de linea blanca,265,0.2521127164363861,"[0.10501370579004288, 0.6139740347862244, 0.3463036119937897, 0.9425621628761292]",D44,18267.2636789325,"(498.0915832519531, 81.23711720108986)",118.29172611236572,154.42553997039795,230400,84,Desenfoque de linea blanca
,,,223,571,,Desenfoque de linea blanca,266,0.2206818014383316,"[0.10142412036657333, 0.6275673508644104, 0.33945170044898987, 0.942861795425415]",D44,17291.237449486594,"(502.53732681274414, 79.35764774680138)",113.50600004196167,152.33765125274658,230400,84,Desenfoque de linea blanca
,,,224,572,,Desenfoque de linea blanca,267,0.2567032277584076,"[0.10524354130029678, 0.610933780670166, 0.34850454330444336, 0.9421629309654236]",D44,18564.511102573,"(496.9909477233887, 81.67465522885323)",119.24249410629272,155.6870412826538,230400,84,Desenfoque de linea blanca
,,,225,573,,Desenfoque de linea blanca,268,0.30637603998184204,"[0.10444792360067368, 0.6167100071907043, 0.3472110629081726, 0.9434055685997009]",D44,18272.941075693165,"(499.2369842529297, 81.29861757159233)",117.61040210723877,155.36840915679932,230400,84,Desenfoque de linea blanca
,,,226,574,,Desenfoque de linea blanca,269,0.2933727502822876,"[0.10206981003284454, 0.6237455010414124, 0.3456384241580963, 0.9447025656700134]",D44,18011.535534788483,"(501.90338134765625, 80.58748215436935)",115.54454326629639,155.88391304016113,230400,84,Desenfoque de linea blanca
,,,227,575,,Desenfoque de linea blanca,270,0.2991248071193695,"[0.10356662422418594, 0.6151900291442871, 0.34829843044281006, 0.9439038634300232]",D44,18534.926682730988,"(498.9100456237793, 81.33570984005928)",118.33698034286499,156.62835597991943,230400,84,Desenfoque de linea blanca
,,,228,576,,Desenfoque de linea blanca,271,0.24947838485240936,"[0.10447193682193756, 0.6144261956214905, 0.34802451729774475, 0.9432234168052673]",D44,18450.29644936326,"(498.4478759765625, 81.44936174154282)",118.36699962615967,155.8736515045166,230400,84,Desenfoque de linea blanca
,,,229,577,,Desenfoque de linea blanca,272,0.25512227416038513,"[0.10282306373119354, 0.6145046949386597, 0.34906721115112305, 0.9423153400421143]",D44,18598.222729423243,"(498.18241119384766, 81.34024947881699)",118.01183223724365,157.59625434875488,230400,84,Desenfoque de linea blanca
,,,230,578,,Desenfoque de linea blanca,273,0.3391229212284088,"[0.10118136554956436, 0.6205910444259644, 0.3476431369781494, 0.944122850894928]",D44,18371.686380095445,"(500.70844650268555, 80.78841045498848)",116.4714503288269,157.73553371429443,230400,84,Desenfoque de linea blanca
,,,231,579,,Desenfoque de linea blanca,274,0.3834046721458435,"[0.10219311714172363, 0.6215900182723999, 0.34509578347206116, 0.9423918128013611]",D44,17953.60003306946,"(500.4741859436035, 80.51200211048126)",115.48864603042603,155.45770645141602,230400,84,Desenfoque de linea blanca
,,,232,580,,Desenfoque de linea blanca,275,0.3747383654117584,"[0.10330101102590561, 0.6189664006233215, 0.34590238332748413, 0.9426815509796143]",D44,18094.17362947164,"(499.72734451293945, 80.85661098361015)",116.53745412826538,155.26487827301025,230400,84,Desenfoque de linea blanca
,,,233,581,,Desenfoque de linea blanca,276,0.3315354585647583,"[0.1015070453286171, 0.6183428764343262, 0.3464663028717041, 0.9432018995285034]",D44,18334.592663805437,"(499.69432830810547, 80.63520267605782)",116.94924831390381,156.77392482757568,230400,84,Desenfoque de linea blanca
,,,234,582,,Desenfoque de linea blanca,277,0.3468662202358246,"[0.10272049903869629, 0.6232219338417053, 0.34452682733535767, 0.9423613548278809]",D44,17779.95224142096,"(500.9866523742676, 80.50451874732971)",114.8901915550232,154.75605010986328,230400,84,Desenfoque de linea blanca
,,,235,600,,Grieta Vertical,279,0.21720440685749054,"[0.4294883608818054, 0.680715799331665, 0.5182123184204102, 0.9312416911125183]",D00,5121.250233911542,"(515.8263969421387, 170.5861222743988)",90.18932104110718,56.78333282470703,230400,211,Grieta Vertical
,,,235,600,,Desenfoque de linea blanca,278,0.5023505687713623,"[0.012503445148468018, 0.551491379737854, 0.3930305540561676, 0.9310969710350037]",D44,33281.3302690181,"(474.42827224731445, 72.99611985683441)",136.65801286697388,243.53734970092773,230400,85,Desenfoque de linea blanca
,,,236,601,,Desenfoque de linea blanca,280,0.44095730781555176,"[0.025619864463806152, 0.5916527509689331, 0.3408575654029846, 0.9323937296867371]",D44,24748.2783928549,"(487.69487380981445, 65.96593737602234)",122.66675233840942,201.75212860107422,230400,85,Desenfoque de linea blanca
,,,237,602,,Desenfoque de linea blanca,281,0.25222429633140564,"[0.0015061140293255448, 0.6356146931648254, 0.2513950765132904, 0.9316302537918091]",D44,17042.923313092488,"(501.51838302612305, 45.52221429767087)",106.56560182571411,159.9289359897375,230400,85,Desenfoque de linea blanca
,,,238,620,,Desenfoque de linea blanca,282,0.3051006495952606,"[0.06088538095355034, 0.5461621880531311, 0.3935433328151703, 0.9436029195785522]",D44,30461.603267089282,"(476.7248344421387, 81.79716847836971)",143.0786633491516,212.90108919143677,230400,86,Desenfoque de linea blanca
,,,239,621,,Desenfoque de linea blanca,283,0.32167261838912964,"[0.0741003006696701, 0.5948083400726318, 0.35247620940208435, 0.9474002122879028]",D44,22614.470286241383,"(493.5067367553711, 76.7837718129158)",126.93307399749756,178.16058158874512,230400,86,Desenfoque de linea blanca
,,,240,634,,Desenfoque de linea blanca,284,0.2697458863258362,"[0.10551068931818008, 0.580482542514801, 0.3905945122241974, 0.9481515884399414]",D44,24149.720949476443,"(489.1629219055176, 89.29893627762794)",132.36085653305054,182.45364665985107,230400,87,Desenfoque de linea blanca
,,,241,636,,Desenfoque de linea blanca,285,0.20079638063907623,"[0.07320404052734375, 0.5389330387115479, 0.40270695090293884, 0.9458906650543213]",D44,30895.193613193987,"(475.1435852050781, 85.66397845745087)",146.50474548339844,210.88186264038086,230400,88,Desenfoque de linea blanca
,,,242,638,,Grieta e Intervalo Lineal Transversal,287,0.23251859843730927,"[0.26918038725852966, 0.7043180465698242, 0.5524337887763977, 0.7704930901527405]",D10,4318.688146280647,"(471.9395637512207, 147.89055168628693)",23.823015689849854,181.28217697143555,230400,351,Grieta e Intervalo Lineal Transversal
,,,242,638,,Desenfoque de linea blanca,286,0.2918078899383545,"[0.05585109069943428, 0.5517376661300659, 0.38353222608566284, 0.9505376219749451]",D44,30108.49282327169,"(480.7280921936035, 79.08899702131748)",143.5679841041565,209.71592664718628,230400,89,Desenfoque de linea blanca
,,,243,673,,Desenfoque de linea blanca,288,0.22629116475582123,"[1.920461727422662e-05, 0.5788193941116333, 0.1533585637807846, 0.939206600189209]",D44,12732.25956034485,"(485.76831817626953, 27.60799831165059)",129.73939418792725,98.13718986464664,230400,90,Desenfoque de linea blanca
,,,244,689,,Grieta Vertical,289,0.3156526982784271,"[0.48946744203567505, 0.611217737197876, 0.5529020428657532, 0.7852347493171692]",D00,2543.3164112095255,"(446.86479568481445, 187.62650728225708)",62.64612436294556,40.59814453125,230400,212,Grieta Vertical
,,,245,696,,Grieta Vertical,290,0.2496161162853241,"[0.5640095472335815, 0.5455513000488281, 0.7445906400680542, 0.8529011011123657]",D00,12787.560105641023,"(447.50476837158203, 235.54803371429443)",110.64592838287354,115.5718994140625,230400,213,Grieta Vertical
,,,246,697,,Grieta Vertical,292,0.3690204620361328,"[0.5132431983947754, 0.5655237436294556, 0.7740586996078491, 0.8969762325286865]",D00,19917.606993540176,"(467.99999237060547, 231.7143416404724)",119.32289600372314,166.9219207763672,230400,213,Grieta Vertical
,,,246,697,,Desenfoque de linea blanca,291,0.43651798367500305,"[0.023518633097410202, 0.5539311766624451, 0.3556064963340759, 0.9417620897293091]",D44,29674.123595711982,"(478.6218452453613, 68.2425232976675)",139.61912870407104,212.53623247146606,230400,91,Desenfoque de linea blanca
,,,247,698,,Grieta Vertical,293,0.6241485476493835,"[0.4290130138397217, 0.5575846433639526, 0.5534266829490662, 0.9362279176712036]",D00,10853.775138848505,"(478.02001953125, 176.8391454219818)",136.31157875061035,79.62474822998047,230400,213,Grieta Vertical
,,,247,698,,Desenfoque de linea blanca,294,0.39244934916496277,"[0.0002105236053466797, 0.5605778098106384, 0.25279226899147034, 0.9312760233879089]",D44,21572.721053997702,"(477.39322662353516, 45.54050266742706)",133.45135688781738,161.65231704711914,230400,91,Desenfoque de linea blanca
,,,248,699,,Piel de cocodrilo,295,0.2348174899816513,"[0.27445903420448303, 0.540911853313446, 0.3653072714805603, 0.940093457698822]",D20,8355.443353677583,"(473.9216995239258, 115.1579350233078)",143.70537757873535,58.14287185668945,230400,14,Piel de cocodrilo
,,,249,703,,Grieta Vertical,296,0.3457666337490082,"[0.3421279788017273, 0.6448648571968079, 0.5334867238998413, 0.8392673134803772]",D00,8571.02056206677,"(474.9222946166992, 157.61064648628235)",69.98488426208496,122.46959686279297,230400,214,Grieta Vertical
,,,250,705,,Grieta Vertical,297,0.3882179260253906,"[0.21361275017261505, 0.6644455194473267, 0.551095187664032, 0.9364266395568848]",D00,21148.151354776972,"(512.2790908813477, 137.64742881059647)",97.91320323944092,215.98875999450684,230400,215,Grieta Vertical
,,,251,706,,Grieta Vertical,298,0.28361499309539795,"[0.27447509765625, 0.7489378452301025, 0.522834300994873, 0.9425472617149353]",D00,11078.710372691421,"(541.2752342224121, 143.51569175720215)",69.6993899345398,158.94989013671875,230400,215,Grieta Vertical
,,,252,716,,Desenfoque de linea blanca,299,0.2873398959636688,"[0.5342659950256348, 0.6294078826904297, 0.7704101800918579, 0.9105009436607361]",D44,15293.604513162973,"(492.77082443237305, 234.84171152114868)",101.1935019493103,151.1322784423828,230400,92,Desenfoque de linea blanca
,,,253,719,,Desenfoque de linea blanca,300,0.22192823886871338,"[0.5615893602371216, 0.6777536869049072, 0.7003880739212036, 0.894913375377655]",D44,6944.598241701897,"(503.2534599304199, 227.15593814849854)",78.17748785018921,88.8311767578125,230400,93,Desenfoque de linea blanca
,,,254,725,,Grieta Vertical,301,0.21663159132003784,"[0.32212138175964355, 0.7393030524253845, 0.3695628046989441, 0.8724465370178223]",D00,1455.325370302944,"(515.7598686218262, 124.50315356254578)",47.93165445327759,30.362510681152344,230400,216,Grieta Vertical
,,,255,726,,Grieta Vertical,302,0.5140056014060974,"[0.3019539713859558, 0.7475928664207458, 0.3706379532814026, 0.9301185011863708]",D00,2888.429735507816,"(536.8676376342773, 121.06654644012451)",65.709228515625,43.95774841308594,230400,216,Grieta Vertical
,,,256,728,,Piel de cocodrilo,303,0.2168091982603073,"[0.358242392539978, 0.6122210025787354, 0.5420635342597961, 0.9212276935577393]",D20,13087.172214103339,"(490.7035827636719, 162.05506682395935)",111.2424087524414,117.6455307006836,230400,15,Piel de cocodrilo
,,,257,731,,Grieta Vertical,304,0.23050200939178467,"[0.3184179663658142, 0.6511306166648865, 0.3985883295536041, 0.7917998433113098]",D00,2598.3366888013734,"(461.7377471923828, 129.0611332654953)",50.6409215927124,51.30903244018555,230400,217,Grieta Vertical
,,,258,732,,Piel de cocodrilo,305,0.20492595434188843,"[0.43806594610214233, 0.6506728529930115, 0.527648389339447, 0.7338889241218567]",D20,1717.5626423035283,"(443.0597686767578, 173.82858037948608)",29.957785606384277,57.332763671875,230400,16,Piel de cocodrilo
,,,259,734,,Grieta Vertical,306,0.5373867750167847,"[0.47358304262161255, 0.7320829629898071, 0.5475538372993469, 0.8495912551879883]",D00,2002.6786763803102,"(506.13574981689453, 183.8046383857727)",42.302985191345215,47.34130859375,230400,218,Grieta Vertical
,,,260,735,,Grieta Vertical,307,0.6802868843078613,"[0.34150809049606323, 0.6616959571838379, 0.41387659311294556, 0.8010340929031372]",D00,2323.2826919655054,"(468.07361602783203, 135.96924304962158)",50.161728858947754,46.31584167480469,230400,218,Grieta Vertical
,,,261,736,,Grieta Vertical,308,0.3788306713104248,"[0.3441087603569031, 0.7157087326049805, 0.40830525755882263, 0.9437916874885559]",D00,3373.5460089574644,"(531.0401344299316, 135.43452322483063)",82.10986375808716,41.085758209228516,230400,218,Grieta Vertical
,,,262,741,,Grieta Vertical,309,0.5808586478233337,"[0.3928499221801758, 0.6797727942466736, 0.530791163444519, 0.9278867840766907]",D00,7885.474959099156,"(514.4510650634766, 166.25539541244507)",89.32103633880615,88.28239440917969,230400,219,Grieta Vertical
