latitude,longitude,distances,ind,fotograma,section,classes,ind2,scores,boxes,class_id,area,center,height,width,total_area,fail_id_section,class_id_readable
,,,21,33,,Grieta e Intervalo Lineal Transversal,22,0.4657449722290039,"[0.4942617416381836, 0.7557200193405151, 0.7953294515609741, 0.8432093262672424]",D10,6068.783296318907,"(511.6573905944824, 232.1264147758484)",31.496150493621826,192.68333435058594,230400,340,Grieta e Intervalo Lineal Transversal
,,,22,34,,Grieta e Intervalo Lineal Transversal,23,0.46485310792922974,"[0.4971580505371094, 0.7568593621253967, 0.7929019927978516, 0.8432783484458923]",D10,5888.53824781836,"(512.0440673828125, 232.21080780029297)",31.110835075378418,189.276123046875,230400,340,Grieta e Intervalo Lineal Transversal
,,,23,35,,Grieta e Intervalo Lineal Transversal,24,0.4887036681175232,"[0.4969319701194763, 0.7563266158103943, 0.7966216802597046, 0.8445109128952026]",D10,6088.994249994084,"(512.268009185791, 232.83965706825256)",31.746346950531006,191.8014144897461,230400,340,Grieta e Intervalo Lineal Transversal
,,,24,36,,Grieta e Intervalo Lineal Transversal,25,0.4855625629425049,"[0.4978612959384918, 0.7566562294960022, 0.7966903448104858, 0.8440131545066833]",D10,6014.542881789839,"(512.2142028808594, 233.01929533481598)",31.448493003845215,191.25059127807617,230400,340,Grieta e Intervalo Lineal Transversal
,,,25,37,,Grieta e Intervalo Lineal Transversal,26,0.47044193744659424,"[0.49672937393188477, 0.7565207481384277, 0.7966891527175903, 0.8441840410232544]",D10,6058.474431289142,"(512.2255325317383, 232.81533479690552)",31.558785438537598,191.97425842285156,230400,340,Grieta e Intervalo Lineal Transversal
,,,26,38,,Grieta e Intervalo Lineal Transversal,27,0.48429247736930847,"[0.494696706533432, 0.7558670043945312, 0.7932606935501099, 0.8439319133758545]",D10,6057.909582733373,"(511.93565368652344, 231.83233201503754)",31.703367233276367,191.08095169067383,230400,340,Grieta e Intervalo Lineal Transversal
,,,27,39,,Grieta e Intervalo Lineal Transversal,28,0.5079444050788879,"[0.4956032335758209, 0.7560036778450012, 0.794404923915863, 0.843461275100708]",D10,6020.922906566511,"(511.82878494262695, 232.2014683485031)",31.484735012054443,191.23308181762695,230400,340,Grieta e Intervalo Lineal Transversal
,,,28,40,,Grieta e Intervalo Lineal Transversal,29,0.5090371370315552,"[0.49526286125183105, 0.7557339072227478, 0.7954487204551697, 0.8440046310424805]",D10,6105.052355864154,"(511.91633224487305, 232.32808470726013)",31.77746057510376,192.11894989013672,230400,340,Grieta e Intervalo Lineal Transversal
,,,29,41,,Grieta e Intervalo Lineal Transversal,30,0.5119503736495972,"[0.4964960217475891, 0.7557864785194397, 0.7931978106498718, 0.8433617353439331]",D10,5986.65262772829,"(511.7274284362793, 232.14488983154297)",31.527092456817627,189.88914489746094,230400,340,Grieta e Intervalo Lineal Transversal
,,,30,42,,Grieta e Intervalo Lineal Transversal,31,0.4621524214744568,"[0.5009106397628784, 0.7575187087059021, 0.7931833267211914, 0.8442859053611755]",D10,5842.870665126247,"(512.5774765014648, 232.93691396713257)",31.236190795898438,187.0545196533203,230400,340,Grieta e Intervalo Lineal Transversal
,,,31,43,,Grieta e Intervalo Lineal Transversal,32,0.4834418296813965,"[0.5026280879974365, 0.7565661668777466, 0.7975088357925415, 0.8447677493095398]",D10,5992.461753799398,"(512.4268531799316, 234.02464628219604)",31.752569675445557,188.7236785888672,230400,340,Grieta e Intervalo Lineal Transversal
,,,32,44,,Grieta e Intervalo Lineal Transversal,33,0.4682932496070862,"[0.4976023733615875, 0.7562033534049988, 0.791422963142395, 0.8439093828201294]",D10,5937.370511635936,"(512.036075592041, 232.02456057071686)",31.57417058944702,188.0451774597168,230400,340,Grieta e Intervalo Lineal Transversal
,,,33,45,,Grieta e Intervalo Lineal Transversal,34,0.4344141185283661,"[0.4906133711338043, 0.7543519139289856, 0.7926025390625, 0.8462572693824768]",D10,6394.618787694526,"(512.194938659668, 230.97886383533478)",33.085927963256836,193.27306747436523,230400,340,Grieta e Intervalo Lineal Transversal
,,,34,46,,Grieta e Intervalo Lineal Transversal,35,0.3381763696670532,"[0.4879609942436218, 0.7616941928863525, 0.7820173501968384, 0.848572313785553]",D10,5886.043463504302,"(515.2852821350098, 228.59610199928284)",31.276123523712158,188.1960678100586,230400,340,Grieta e Intervalo Lineal Transversal
,,,35,47,,Grieta e Intervalo Lineal Transversal,36,0.4044748544692993,"[0.477118581533432, 0.7707411646842957, 0.7780251502990723, 0.8590975403785706]",D10,6125.64798844387,"(521.5483856201172, 225.92587172985077)",31.808295249938965,192.58020401000977,230400,340,Grieta e Intervalo Lineal Transversal
,,,36,48,,Grieta e Intervalo Lineal Transversal,37,0.279918909072876,"[0.44386234879493713, 0.7907100915908813, 0.7519963979721069, 0.8853556513786316]",D10,6719.274909858677,"(536.3410377502441, 215.25457441806793)",34.07240152359009,197.20579147338867,230400,340,Grieta e Intervalo Lineal Transversal
,,,37,49,,Grieta Vertical,38,0.36472317576408386,"[0.11589126288890839, 0.7044547200202942, 0.44402605295181274, 0.9245356321334839]",D00,16638.613376973466,"(521.276912689209, 100.7851168513298)",79.22912836074829,210.0062656402588,230400,183,Grieta Vertical
,,,38,50,,Grieta Vertical,39,0.3868723213672638,"[0.24192292988300323, 0.7204822301864624, 0.3532562851905823, 0.9355524778366089]",D00,5516.811025395327,"(529.9311065673828, 107.13225871324539)",77.42528915405273,71.25334739685059,230400,183,Grieta Vertical
,,,39,51,,Grieta Vertical,40,0.3473772704601288,"[0.3174653947353363, 0.7444028258323669, 0.5289169549942017, 0.9234804511070251]",D00,8724.382449817858,"(533.7226486206055, 152.34882295131683)",64.46794509887695,135.32899856567383,230400,183,Grieta Vertical
,,,40,52,,Grieta Vertical,41,0.27029290795326233,"[0.3437967896461487, 0.8384512066841125, 0.4256976246833801, 0.9334317445755005]",D00,1792.278228231953,"(567.0025444030762, 138.50899457931519)",34.19299364089966,52.416534423828125,230400,183,Grieta Vertical
,,,41,53,,Grieta e Intervalo Lineal Transversal,42,0.38490957021713257,"[0.20930036902427673, 0.7717783451080322, 0.40486907958984375, 0.8396608233451843]",D10,3058.718685427584,"(515.6605339050293, 110.55050075054169)",24.437692165374756,125.16397476196289,230400,341,Grieta e Intervalo Lineal Transversal
,,,42,56,,Desenfoque de linea blanca,43,0.3991484045982361,"[0.3476468026638031, 0.6955299973487854, 0.4139459729194641, 0.9060562252998352]",D44,3215.857358640096,"(512.5075912475586, 137.0866996049881)",75.78944206237793,42.43146896362305,230400,40,Desenfoque de linea blanca
,,,43,57,,Grieta Vertical,44,0.20709317922592163,"[0.4183608889579773, 0.5877789855003357, 0.472913920879364, 0.940822958946228]",D00,4437.416252862022,"(489.1526222229004, 160.42946577072144)",127.09583044052124,34.9139404296875,230400,184,Grieta Vertical
,,,44,63,,Grieta e Intervalo Lineal Transversal,45,0.546513020992279,"[0.34963586926460266, 0.8141952753067017, 0.5464174151420593, 0.8757261633872986]",D10,2789.716210724191,"(540.7748603820801, 161.28959119319916)",22.151119709014893,125.94018936157227,230400,342,Grieta e Intervalo Lineal Transversal
,,,45,64,,Grieta Vertical,47,0.28912997245788574,"[0.0871427059173584, 0.704965353012085, 0.24451056122779846, 0.919358491897583]",D00,7773.370781111225,"(519.7836303710938, 59.697588086128235)",77.1815299987793,100.71542739868164,230400,185,Grieta Vertical
